0.5	2	8	0.3	0.05	4
0.5	3	12	0.6	0.15	6
0.5	4	16	0.4	0.125	8
0.5	5	10	0.7	0.1	10
0.5	6	14	0.5	0.075	12
1	2	16	0.6	0.1	12
1	3	10	0.4	0.075	4
1	4	14	0.7	0.05	6
1	5	8	0.5	0.15	8
1	6	12	0.3	0.125	10
1.5	2	14	0.4	0.15	10
1.5	3	8	0.7	0.125	12
1.5	4	12	0.5	0.1	4
1.5	5	16	0.3	0.075	6
1.5	6	10	0.6	0.05	8
2	2	12	0.7	0.075	8
2	3	16	0.5	0.05	10
2	4	10	0.3	0.15	12
2	5	14	0.6	0.125	4
2	6	8	0.4	0.1	6
2.5	2	10	0.5	0.125	6
2.5	3	14	0.3	0.1	8
2.5	4	8	0.6	0.075	10
2.5	5	12	0.4	0.05	12
2.5	6	16	0.7	0.15	4
